,Study_accession,Sample_accession,Run_accession,Isolate_name,Isolate_name_paper,Species,BAPS_group,Sequence_Type,Country/Province,Origin,Location,Habitat,Source_code,Ampicillin,Vancomycin,Teicoplanin,Doxycycline,Erythromycin,Nitrofurantoin,Gentamicin,Linezolid,Levofloxacin,Quinolone,Streptomycin,Tigecycline,Read_status,R1,R2,Clade
17,PRJNA604849,SAMN14000298,SRR14026482,SWEntR-0266,SWEntR_0266,Enterococcus faecium,,,Canada/Alberta,Feedlot C,"50.3494° N, 113.7750° W",Natural Water,NWS,S,S,S,S,R,I,S,S,S,I,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026482/SRR14026482_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026482/SRR14026482_2.fastq.gz,CladeB
18,PRJNA604849,SAMN14000297,SRR14026473,SWEntR-0256,SWEntR_0256,Enterococcus faecium,,,Canada/Alberta,Feedlot C,"50.3494° N, 113.7750° W",Natural Water,NWS,S,S,S,S,R,S,S,S,S,I,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026473/SRR14026473_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026473/SRR14026473_2.fastq.gz,CladeB
19,PRJNA604849,SAMN14000296,SRR14026444,SWEntR-0253,SWEntR_0253,Enterococcus faecium,,,Canada/Alberta,Feedlot A,"51.4962° N, 113.5103° W",Natural Water,NWS,S,S,S,R,R,S,S,S,S,I,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026444/SRR14026444_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026444/SRR14026444_2.fastq.gz,Clade A
20,PRJNA604849,SAMN14000295,SRR14026503,SWEntR-0229,SWEntR_0229,Enterococcus faecium,,,Canada/Alberta,Feedlot A,"51.4962° N, 113.5103° W",Natural Water,NWS,S,S,S,R,R,S,S,S,I,I,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026503/SRR14026503_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026503/SRR14026503_2.fastq.gz,Clade A
21,PRJNA604849,SAMN14000294,SRR14026478,SWEntR-0113,SWENTR-0113,Enterococcus faecium,,,Canada/Alberta,Feedlot C,"50.3494° N, 113.7750° W",Natural Water,NWS,R,S,S,R,R,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026478/SRR14026478_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026478/SRR14026478_2.fastq.gz,Clade A
22,PRJNA604849,SAMN14000293,SRR14026451,SWEntR-0124,SWEntR_0124,Enterococcus faecium,,,Canada/Alberta,Feedlot C,"50.3494° N, 113.7750° W",Natural Water,NWS,S,S,S,R,R,S,S,S,S,I,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026451/SRR14026451_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026451/SRR14026451_2.fastq.gz,CladeB
23,PRJNA604849,SAMN14000292,SRR14026500,SWEntR-0262,SWEntR_0262,Enterococcus faecium,,,Canada/Alberta,Feedlot C,"50.3494° N, 113.7750° W",Natural Water,NWS,S,S,S,R,R,I,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026500/SRR14026500_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026500/SRR14026500_2.fastq.gz,Clade A
24,PRJNA604849,SAMN14000291,SRR14026494,SWEntR-0331,SWEntR_0331,Enterococcus faecium,,,Canada/Alberta,Feedlot C,"50.3494° N, 113.7750° W",Natural Water,NWS,S,S,S,I,R,S,S,S,S,I,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026494/SRR14026494_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026494/SRR14026494_2.fastq.gz,CladeB
25,PRJNA604849,SAMN14000290,SRR14026491,Ent-0004,Ent_0004,Enterococcus faecium,,,Canada/Alberta,Feedlot A,"51.4962° N, 113.5103° W",Natural Water,NWS,S,S,S,S,I,S,S,S,I,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026491/SRR14026491_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026491/SRR14026491_2.fastq.gz,Clade A
26,PRJNA604849,SAMN14000289,SRR14026487,Ent-0010,Ent_0010,Enterococcus faecium,,,Canada/Alberta,Feedlot A,"51.4962° N, 113.5103° W",Natural Water,NWS,S,S,S,S,I,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026487/SRR14026487_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026487/SRR14026487_2.fastq.gz,Clade A
27,PRJNA604849,SAMN14000288,SRR14026498,Ent-0032,Ent_0032,Enterococcus faecium,,,Canada/Alberta,Feedlot C,"50.3494° N, 113.7750° W",Natural Water,NWS,S,S,S,S,I,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026498/SRR14026498_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026498/SRR14026498_2.fastq.gz,CladeB
28,PRJNA604849,SAMN14000287,SRR14026501,Ent-0081,Ent_0081,Enterococcus faecium,,,Canada/Alberta,Feedlot A,"51.4962° N, 113.5103° W",Natural Water,NWS,S,S,S,S,S,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026501/SRR14026501_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026501/SRR14026501_2.fastq.gz,CladeB
29,PRJNA604849,SAMN14000286,SRR14026472,Ent-0189,Ent_0189,Enterococcus faecium,,,Canada/Alberta,Feedlot A,"51.4962° N, 113.5103° W",Natural Water,NWS,S,S,S,R,S,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026472/SRR14026472_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026472/SRR14026472_2.fastq.gz,Clade A
30,PRJNA604849,SAMN14000285,SRR14026469,SWEnt-0923,SWEnt_0923,Enterococcus faecium,,,Canada/Alberta,Feedlot A,"51.4962° N, 113.5103° W",Natural Water,NWS,S,S,S,S,R,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026469/SRR14026469_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026469/SRR14026469_2.fastq.gz,CladeB
31,PRJNA604849,SAMN14000284,SRR14026483,SWEnt-0924,SWEnt_0924,Enterococcus faecium,,,Canada/Alberta,Feedlot A,"51.4962° N, 113.5103° W",Natural Water,NWS,S,S,S,R,R,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026483/SRR14026483_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026483/SRR14026483_2.fastq.gz,Clade A
32,PRJNA604849,SAMN14000283,SRR14026457,SWEnt-0939,SWEnt_0939,Enterococcus faecium,,,Canada/Alberta,Feedlot A,"51.4962° N, 113.5103° W",Natural Water,NWS,S,S,S,S,I,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026457/SRR14026457_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026457/SRR14026457_2.fastq.gz,Clade A
33,PRJNA604849,SAMN14000282,SRR14026447,SWEnt-0943,SWEnt_0943,Enterococcus faecium,,,Canada/Alberta,Feedlot C,"50.3494° N, 113.7750° W",Natural Water,NWS,S,S,S,I,S,S,S,S,S,I,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026447/SRR14026447_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026447/SRR14026447_2.fastq.gz,CladeB
34,PRJNA604849,SAMN14000281,SRR14026489,SWEnt-0978,SWEnt_0978,Enterococcus faecium,,,Canada/Alberta,Feedlot C,"50.3494° N, 113.7750° W",Natural Water,NWS,S,S,S,S,I,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026489/SRR14026489_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026489/SRR14026489_2.fastq.gz,CladeB
35,PRJNA604849,SAMN14000280,SRR14026463,SWEnt-0980,SWEnt_0980,Enterococcus faecium,,,Canada/Alberta,Feedlot C,"50.3494° N, 113.7750° W",Natural Water,NWS,S,S,S,R,I,S,S,S,I,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026463/SRR14026463_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026463/SRR14026463_2.fastq.gz,Clade A
36,PRJNA604849,SAMN14000279,SRR14026480,SWEnt-0984,SWEnt_0984,Enterococcus faecium,,,Canada/Alberta,Feedlot C,"50.3494° N, 113.7750° W",Natural Water,NWS,S,S,S,S,I,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026480/SRR14026480_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026480/SRR14026480_2.fastq.gz,Clade A
37,PRJNA604849,SAMN14000278,SRR14026504,SWEnt-1012,SWEnt_1012,Enterococcus faecium,,,Canada/Alberta,Feedlot A,"51.4962° N, 113.5103° W",Natural Water,NWS,S,S,S,S,R,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026504/SRR14026504_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026504/SRR14026504_2.fastq.gz,CladeB
38,PRJNA604849,SAMN14000277,SRR14026443,SWEnt-1013,SWEnt_1013,Enterococcus faecium,,,Canada/Alberta,Feedlot A,"51.4962° N, 113.5103° W",Natural Water,NWS,S,S,S,S,S,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026443/SRR14026443_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026443/SRR14026443_2.fastq.gz,CladeB
39,PRJNA604849,SAMN14000276,SRR14026474,SWEnt-1077,SWEnt_1077,Enterococcus faecium,,,Canada/Alberta,Feedlot C,"50.3494° N, 113.7750° W",Natural Water,NWS,S,S,S,S,I,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026474/SRR14026474_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026474/SRR14026474_2.fastq.gz,Clade A
40,PRJNA604849,SAMN14000275,SRR14026490,EntR-0194,EntR_0194,Enterococcus faecium,,,Canada/Alberta,Feedlot C,"50.3494° N, 113.7750° W",Natural Water,NWS,S,S,S,R,R,S,S,S,I,I,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026490/SRR14026490_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026490/SRR14026490_2.fastq.gz,Clade A
41,PRJNA604849,SAMN14000274,SRR14026495,Ent-0332,Ent_0332,Enterococcus faecium,,,Canada/Alberta,Feedlot C,"50.3494° N, 113.7750° W",Natural Water,NWS,S,S,S,R,I,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026495/SRR14026495_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026495/SRR14026495_2.fastq.gz,Clade A
42,PRJNA604849,SAMN14000273,SRR14026450,Ent-0336,Ent_0336,Enterococcus faecium,,,Canada/Alberta,Feedlot C,"50.3494° N, 113.7750° W",Natural Water,NWS,S,S,S,S,R,S,S,S,S,I,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026450/SRR14026450_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026450/SRR14026450_2.fastq.gz,CladeB
43,PRJNA604849,SAMN14000272,SRR14026492,Ent-0013,Ent_0013,Enterococcus faecium,,,Canada/Alberta,Feedlot A,"51.4962° N, 113.5103° W",Natural Water,NWS,S,S,S,S,R,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026492/SRR14026492_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026492/SRR14026492_2.fastq.gz,CladeB
44,PRJNA604849,SAMN14000271,SRR14026440,Ent-0086,Ent_0086,Enterococcus faecium,,,Canada/Alberta,Feedlot A,"51.4962° N, 113.5103° W",Natural Water,NWS,S,S,S,R,R,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026440/SRR14026440_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026440/SRR14026440_2.fastq.gz,Clade A
45,PRJNA604849,SAMN14000270,SRR14022755,ES-C-ST001-07DEC15-0141E,0141E,Enterococcus faecium,,,Canada/Alberta,Calgary,"51.0447° N, 114.0719° W",Wastewater Human,WW,S,S,S,S,I,S,S,S,I,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14022755/SRR14022755_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14022755/SRR14022755_2.fastq.gz,Clade A
46,PRJNA604849,SAMN14000269,SRR14022743,ES-C-ST001-15JUN15-0096K,0096K,Enterococcus faecium,,,Canada/Alberta,Calgary,"51.0447° N, 114.0719° W",Wastewater Human,WW,S,S,S,I,R,S,S,S,S,I,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14022743/SRR14022743_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14022743/SRR14022743_2.fastq.gz,CladeB
47,PRJNA604849,SAMN14000268,SRR14022778,ES-C-ST001-01FEB16-0145I,0145I,Enterococcus faecium,,,Canada/Alberta,Calgary,"51.0447° N, 114.0719° W",Wastewater Human,WW,S,S,S,S,I,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14022778/SRR14022778_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14022778/SRR14022778_2.fastq.gz,CladeB
48,PRJNA604849,SAMN14000266,SRR14022761,ES-C-ST001-05OCT15-0134L,0134L,Enterococcus faecium,,,Canada/Alberta,Calgary,"51.0447° N, 114.0719° W",Wastewater Human,WW,S,S,S,I,R,S,S,S,S,S,R,S,Validated download,genomes/zaheer_2020_alberta/SRR14022761/SRR14022761_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14022761/SRR14022761_2.fastq.gz,Clade A
49,PRJNA604849,SAMN14000265,SRR14022737,ES-C-ST001-05OCT15-0134E,0134E,Enterococcus faecium,,,Canada/Alberta,Calgary,"51.0447° N, 114.0719° W",Wastewater Human,WW,S,S,S,S,I,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14022737/SRR14022737_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14022737/SRR14022737_2.fastq.gz,Clade A
50,PRJNA604849,SAMN14000264,SRR14022739,ES-C-ST001-05OCT15-0134C,0134C,Enterococcus faecium,,,Canada/Alberta,Calgary,"51.0447° N, 114.0719° W",Wastewater Human,WW,S,S,S,S,I,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14022739/SRR14022739_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14022739/SRR14022739_2.fastq.gz,CladeB
51,PRJNA604849,SAMN14000263,SRR14022772,ES-C-ST001-05OCT15-0134B,0134B,Enterococcus faecium,,,Canada/Alberta,Calgary,"51.0447° N, 114.0719° W",Wastewater Human,WW,S,S,S,S,R,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14022772/SRR14022772_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14022772/SRR14022772_2.fastq.gz,CladeB
52,PRJNA604849,SAMN14000262,SRR14022767,ES-C-ST002-07DEC15-0142D,0142D,Enterococcus faecium,,,Canada/Alberta,Calgary,"51.0447° N, 114.0719° W",Wastewater Human,WW,S,S,S,I,I,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14022767/SRR14022767_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14022767/SRR14022767_2.fastq.gz,CladeB
53,PRJNA604849,SAMN14000261,SRR14022747,ES-C-ST001-27APR15-0081L,0081L,Enterococcus faecium,,,Canada/Alberta,Calgary,"51.0447° N, 114.0719° W",Wastewater Human,WW,S,S,S,S,R,S,S,S,I,I,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14022747/SRR14022747_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14022747/SRR14022747_2.fastq.gz,Clade A
54,PRJNA604849,SAMN14000260,SRR14022740,ES-C-ST001-27APR15-0081E,0081E,Enterococcus faecium,,,Canada/Alberta,Calgary,"51.0447° N, 114.0719° W",Wastewater Human,WW,S,S,S,I,S,S,S,S,I,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14022740/SRR14022740_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14022740/SRR14022740_2.fastq.gz,Clade A
55,PRJNA604849,SAMN14000259,SRR14022750,ES-C-ST002-01FEB16-0146D,0146D,Enterococcus faecium,,,Canada/Alberta,Calgary,"51.0447° N, 114.0719° W",Wastewater Human,WW,S,S,S,S,S,S,S,S,I,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14022750/SRR14022750_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14022750/SRR14022750_2.fastq.gz,CladeB
56,PRJNA604849,SAMN14000258,SRR14022781,ES-C-ST002-01FEB16-0146C,0146C,Enterococcus faecium,,,Canada/Alberta,Calgary,"51.0447° N, 114.0719° W",Wastewater Human,WW,S,S,S,S,R,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14022781/SRR14022781_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14022781/SRR14022781_2.fastq.gz,CladeB
57,PRJNA604849,SAMN14000257,SRR14022760,ES-C-ST002-01FEB16-0146B,0146B,Enterococcus faecium,,,Canada/Alberta,Calgary,"51.0447° N, 114.0719° W",Wastewater Human,WW,S,S,S,S,S,S,S,S,I,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14022760/SRR14022760_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14022760/SRR14022760_2.fastq.gz,CladeB
58,PRJNA604849,SAMN14000251,SRR14022749,ES-C-ST002-05OCT15-0135C,0135C,Enterococcus faecium,,,Canada/Alberta,Calgary,"51.0447° N, 114.0719° W",Wastewater Human,WW,S,S,S,S,I,S,S,S,I,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14022749/SRR14022749_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14022749/SRR14022749_2.fastq.gz,Clade A
59,PRJNA604849,SAMN14000250,SRR14022758,ES-C-ST002-05OCT15-0135B,0135B,Enterococcus faecium,,,Canada/Alberta,Calgary,"51.0447° N, 114.0719° W",Wastewater Human,WW,S,S,S,S,S,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14022758/SRR14022758_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14022758/SRR14022758_2.fastq.gz,CladeB
60,PRJNA604849,SAMN14000249,SRR14022734,ES-C-ST002-05OCT15-0135A,0135A,Enterococcus faecium,,,Canada/Alberta,Calgary,"51.0447° N, 114.0719° W",Wastewater Human,WW,S,S,S,S,I,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14022734/SRR14022734_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14022734/SRR14022734_2.fastq.gz,Clade A
61,PRJNA604849,SAMN14000248,SRR14022754,ES-C-ST001-25AUG15-0117M,0117M,Enterococcus faecium,,,Canada/Alberta,Calgary,"51.0447° N, 114.0719° W",Wastewater Human,WW,S,S,S,S,R,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14022754/SRR14022754_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14022754/SRR14022754_2.fastq.gz,CladeB
62,PRJNA604849,SAMN14000247,SRR14022736,ES-C-ST001-25AUG15-0117I,0117I,Enterococcus faecium,,,Canada/Alberta,Calgary,"51.0447° N, 114.0719° W",Wastewater Human,WW,S,S,S,R,R,S,S,S,I,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14022736/SRR14022736_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14022736/SRR14022736_2.fastq.gz,Clade A
63,PRJNA604849,SAMN14000246,SRR14022752,ES-C-ST001-25AUG15-0117E,0117E,Enterococcus faecium,,,Canada/Alberta,Calgary,"51.0447° N, 114.0719° W",Wastewater Human,WW,S,S,S,S,I,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14022752/SRR14022752_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14022752/SRR14022752_2.fastq.gz,CladeB
64,PRJNA604849,SAMN14000245,SRR14022774,ES-C-ST001-25AUG15-0117D,0117D,Enterococcus faecium,,,Canada/Alberta,Calgary,"51.0447° N, 114.0719° W",Wastewater Human,WW,S,S,S,S,R,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14022774/SRR14022774_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14022774/SRR14022774_2.fastq.gz,CladeB
